category,content
产品信息, 所有运动鞋采用高透气轻薄材料，确保舒适性和耐用性，提供30-48的尺码选择。
下单流程, 浏览商品，点击“加入购物车”或“立即购买”，确认订单后选择支付方式完成付款。
支付方式, 支持信用卡、借记卡、PayPal、支付宝和在线银行，不支持微信支付。
发货时间, 一般订单在7个工作日内发货，具体时间取决于库存和订单量。
退换货政策, 自收到商品12天内，商品未使用且原包装完好可申请退换货，需提供订单号和付款截图。
退款处理, 商品返回检查无误后，退款将在11个工作日内处理完成。
保修服务, 自购买之日起享有6个月质量保证，材料或工艺缺陷可申请免费维修。
注意事项, 特价和促销商品不支持退换货，退回商品需妥善包装避免运输损坏。
鞋面材料, 鞋面通常使用网布、合成革和真皮，兼具透气性与舒适性。
鞋底材料, 鞋底多为橡胶或EVA材质，提供良好抓地力和缓震性能。
鞋垫, 鞋垫采用高弹性材料，提升舒适感，适合长时间穿着。
鞋子颜色选择, 提供红、橙、黄、蓝四种颜色，其他颜色暂时不支持。
如何选择合适的尺码, 参考尺码表，根据脚长选择最适合的尺码。
能否更改已下的订单, 未发货商品可线上修改订单，已发货商品无法更改。
品牌信息, 提供Adidas、Nike、Puma、Reebok、New Balance、Asics、Under Armour等知名品牌，另有Converse、Vans等休闲品牌及Gucci、Balenciaga等高端品牌鞋款。
价格区间, 基础款200-500元，中端款500-1000元，高端款1000元以上。
鞋款类型, 包括跑步鞋、篮球鞋、足球鞋、训练鞋、休闲鞋和板鞋。
尺码选择, 儿童款尺码范围为30-36，成人款尺码范围为36-48。
个性化定制, 可选择颜色、鞋面材质和鞋带款式，提供个性化定制服务。
保养方法, 定期清洁鞋垫，避免在潮湿环境下长时间存放，防止鞋底老化。
延长保修服务, 可延长保修至一年，涵盖鞋子的材料与工艺问题。
